ID	periodo	temp	tipo 
0	0.2061	0	fora
0	0.2079	0	fora
0	0.2427	0	fora
0	0.2924	0	fora
0	0.2824	0	fora
0	0.2336	0	fora
0	0.2302	0	fora
0	0.2064	0	fora
0	0.2488	0	fora
0	0.3912	0	fora
0	0.4292	0	fora
0	0.4189	0	fora
0	0.4481	0	fora
0	0.5332	0	fora
0	0.3192	0	fora
0	0.2467	0	fora
0	0.3053	0	fora
0	0.4087	0	fora
0	0.2192	0	fora
0	0.4054	0	fora
0	0.2771	0	fora
0	0.1803	0	fora
0	0.2605	0	fora
0	0.3139	0	fora
0	0.1528	0	fora
0	0.3197	0	fora
0	0.2931	0	fora
0	0.2441	0	fora
0	0.5214	0	fora
0	0.2703	0	fora
0	0.4525	0	fora
0	0.2667	0	fora
0	0.1987	0	fora
0	0.3379	0	fora
0	0.1503	0	fora
0	0.2951	0	fora
0	0.3601	0	fora
0	0.3447	0	fora
0	0.2863	0	fora
0	0.0711	0	fora
0	0.3502	0	fora
0	0.2684	0	fora
0	0.2702	0	fora
0	0.4195	0	fora
0	0.5736	0	fora
0	0.4445	0	fora
0	0.3222	0	fora
0	0.3344	0	fora
0	0.4631	0	fora
0	0.2741	0	fora
0	0.2499	0	fora
0	0.2146	0	fora
0	0.3779	0	fora
0	0.3575	0	fora
0	0.3057	0	fora
0	0.3557	0	fora
0	0.3377	0	fora
0	0.6050	0	fora
0	0.2913	0	fora
0	0.2474	0	fora
0	0.3096	0	fora
0	0.3216	0	fora
0	0.3509	0	fora
0	0.1760	0	fora
0	0.3781	0	fora
0	0.2646	0	fora
0	0.2595	0	fora
0	0.4234	0	fora
0	0.4954	0	fora
0	0.3717	0	fora
0	0.4527	0	fora
0	0.2637	0	fora
0	0.3994	0	fora
0	0.4423	0	fora
0	0.2164	0	fora
0	0.3754	0	fora
0	0.3461	0	fora
0	0.2168	0	fora
0	0.3039	0	fora
0	0.4753	0	fora
0	0.2854	0	fora
0	0.2780	0	fora
0	0.3563	0	fora
0	0.3554	0	fora
